Metric,Brazil,Canada
Average Price,169.61427427427424,41.27119119119119
Average List Price,97.0834134134134,9.94852852852853
Average Stars,4.598698698698698,4.378878878878879
Average Reviews,906.5125125125126,1518.6326326326325
Number of Best Sellers,50.0,19.0
Total Products Bought In Last Month,174250.0,31700.0
Max Price,3799.05,990.0
Min Price,0.0,0.0
Price Range,3799.05,990.0
Average Price Difference,128.34308308308312,-128.3430830830831
