asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth
B0BW19LGZR,Fast Smart TV Philco PTV40G7PR2CSBLF 40” Led Douby Audio,https://m.media-amazon.com/images/I/51XTXTRDI8L._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0BW19LGZR,4.4,185,1499,1599.9,"TV, Áudio e Cinema em Casa",FALSE,0
B0C6NJLG7B,"Smart TV 55"" 4K LG UHD ThinQ AI 55UR8750PSA HDR Bluetooth Alexa Google Assistente Airplay2 3 HDMI",https://m.media-amazon.com/images/I/61CB427DDnL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C6NJLG7B,4.6,87,2488,2620,"TV, Áudio e Cinema em Casa",FALSE,0
B0765P3DB8,Suporte Fixo Universal de Parede Para TVs de 14” a 84” Até 100 kg - GENIUS ELG,https://m.media-amazon.com/images/I/51y2xXb7-IS._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0765P3DB8,4.8,24121,27.83,39.9,"TV, Áudio e Cinema em Casa",TRUE,0
B09PNQZ8VH,"Smart Tv Philco Roku 32"" Led Hd - Ptv32g70rch",https://m.media-amazon.com/images/I/51ZF4-8E+rL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B09PNQZ8VH,4.6,2967,972.81,1399.9,"TV, Áudio e Cinema em Casa",FALSE,0
B0B5S1YQS2,"Smart TV LED 50"" 4K UHD TCL 50P635 - Google TV, Wifi, HDMI",https://m.media-amazon.com/images/I/61dHJpr85eL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0B5S1YQS2,4.6,397,1899.05,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0C448ZW6Y,"Smart TV LED 24' Monitor LG 24TL520S, Wi-Fi, WebOS 3.5, DTV Machine Ready",https://m.media-amazon.com/images/I/51Y4HxmH5RL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C448ZW6Y,4.8,700,829.9,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0CCJWFWWN,"Smart TV Philips 43"" Full HD 43PFG6918/78, Google TV, Comando de Voz, HDR, 3 HDMI, Wifi 5G, Bluetooth",https://m.media-amazon.com/images/I/61OGXgI9o2L._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0CCJWFWWN,3.9,10,1638.98,0,"TV, Áudio e Cinema em Casa",FALSE,0
B0B6B9QDVL,"PHILIPS Smart TV 50"" 4K Android Ambilight 50PUG7907/78, Google Assistant, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0, 4 HDMI",https://m.media-amazon.com/images/I/61FmMloVLgL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0B6B9QDVL,4.7,1170,2187.41,2301.51,"TV, Áudio e Cinema em Casa",FALSE,0
B0C7W1YZVK,"Fast Smart TV LED 50'', 4K, PTV50M8GAGCMBL, Philco, Dolby Audio",https://m.media-amazon.com/images/I/61GGDseCYGL._AC_UL320_.jpg,https://www.amazon.com.br/dp/B0C7W1YZVK,4.4,14,2289.9,0,"TV, Áudio e Cinema em Casa",FALSE,0
B09CQDGJJW,"Smart TV LED, 50"", Ultra HD 4K, LH50BEAHVGGXZD, Samsung, 2HDMI, 1USB, Wifi",https://m.media-amazon.com/images/I/51kVio3F0zS._AC_UL320_.jpg,https://www.amazon.com.br/dp/B09CQDGJJW,4.7,306,2299,0,"TV, Áudio e Cinema em Casa",FALSE,0
